TIME	DELETED
133200.0	156
136800.0	144
140400.0	208
144000.0	190
147600.0	216
151200.0	151
154800.0	190
158400.0	191
162000.0	184
165600.0	171
169200.0	219
172800.0	201
176400.0	165
180000.0	235
183600.0	190
187200.0	163
190800.0	164
194400.0	227
198000.0	198
201600.0	154
205200.0	197
208800.0	221
212400.0	149
216000.0	192
219600.0	186
223200.0	209
226800.0	181
230400.0	209
234000.0	152
237600.0	205
241200.0	178
244800.0	200
248400.0	219
252000.0	261
255600.0	160
259200.0	143
266400.0	165
273600.0	23
3600.0	0
7200.0	0
10800.0	1
14400.0	34
262800.0	182
270000.0	83
18000.0	165
21600.0	176
25200.0	168
28800.0	200
32400.0	194
36000.0	195
39600.0	186
43200.0	167
46800.0	190
50400.0	193
54000.0	189
57600.0	191
61200.0	199
64800.0	190
68400.0	180
72000.0	204
75600.0	174
79200.0	183
82800.0	208
86400.0	187
90000.0	177
93600.0	161
97200.0	164
100800.0	199
104400.0	231
108000.0	171
111600.0	219
115200.0	206
118800.0	192
122400.0	180
126000.0	172
129600.0	190

