TIME	DELETED
133200.0	206
136800.0	258
140400.0	290
144000.0	156
147600.0	274
151200.0	194
154800.0	184
158400.0	262
162000.0	232
165600.0	220
169200.0	206
172800.0	195
176400.0	255
180000.0	216
183600.0	222
187200.0	206
190800.0	188
194400.0	238
198000.0	239
201600.0	246
205200.0	194
208800.0	224
212400.0	216
216000.0	241
219600.0	202
223200.0	248
226800.0	188
230400.0	216
234000.0	269
237600.0	194
241200.0	224
244800.0	277
248400.0	211
252000.0	200
255600.0	222
259200.0	195
266400.0	9
273600.0	0
3600.0	1
7200.0	50
10800.0	219
14400.0	228
262800.0	35
270000.0	0
18000.0	219
21600.0	206
25200.0	235
28800.0	200
32400.0	164
36000.0	251
39600.0	278
43200.0	192
46800.0	235
50400.0	219
54000.0	191
57600.0	216
61200.0	255
64800.0	240
68400.0	180
72000.0	245
75600.0	212
79200.0	215
82800.0	204
86400.0	193
90000.0	192
93600.0	283
97200.0	189
100800.0	197
104400.0	266
108000.0	228
111600.0	243
115200.0	135
118800.0	203
122400.0	281
126000.0	189
129600.0	163

