TIME	DELETED
133200.0	3
136800.0	8
140400.0	3
144000.0	8
147600.0	2
151200.0	10
154800.0	2
158400.0	7
162000.0	49
165600.0	27
169200.0	63
172800.0	78
176400.0	92
180000.0	43
183600.0	70
187200.0	37
190800.0	17
194400.0	21
198000.0	8
201600.0	3
205200.0	8
208800.0	0
212400.0	2
216000.0	3
219600.0	10
223200.0	3
226800.0	6
230400.0	0
234000.0	7
237600.0	2
241200.0	0
244800.0	10
248400.0	129
252000.0	110
255600.0	14
259200.0	75
266400.0	13
273600.0	0
3600.0	0
7200.0	0
10800.0	0
14400.0	0
262800.0	29
270000.0	1
18000.0	0
21600.0	3
25200.0	318
28800.0	15
32400.0	7
36000.0	10
39600.0	0
43200.0	5
46800.0	12
50400.0	3
54000.0	3
57600.0	2
61200.0	4
64800.0	2
68400.0	4
72000.0	0
75600.0	85
79200.0	126
82800.0	75
86400.0	77
90000.0	100
93600.0	36
97200.0	26
100800.0	49
104400.0	25
108000.0	23
111600.0	43
115200.0	39
118800.0	9
122400.0	6
126000.0	6
129600.0	2

