TIME	DELETED
133200.0	11
136800.0	3
140400.0	8
144000.0	6
147600.0	6
151200.0	8
154800.0	5
158400.0	2
162000.0	0
165600.0	26
169200.0	42
172800.0	49
176400.0	154
180000.0	53
183600.0	114
187200.0	46
190800.0	31
194400.0	11
198000.0	16
201600.0	14
205200.0	4
208800.0	0
212400.0	1
216000.0	5
219600.0	6
223200.0	6
226800.0	11
230400.0	4
234000.0	1
237600.0	3
241200.0	2
244800.0	1
248400.0	6
252000.0	98
255600.0	94
259200.0	50
266400.0	78
273600.0	0
3600.0	0
7200.0	0
10800.0	0
14400.0	0
262800.0	35
270000.0	47
18000.0	0
21600.0	0
25200.0	224
28800.0	12
32400.0	3
36000.0	13
39600.0	3
43200.0	5
46800.0	7
50400.0	6
54000.0	7
57600.0	4
61200.0	9
64800.0	4
68400.0	2
72000.0	4
75600.0	19
79200.0	95
82800.0	63
86400.0	30
90000.0	119
93600.0	129
97200.0	27
100800.0	31
104400.0	13
108000.0	22
111600.0	60
115200.0	109
118800.0	39
122400.0	4
126000.0	2
129600.0	2

