TIME	DELETED
133200.0	4
136800.0	11
140400.0	7
144000.0	2
147600.0	3
151200.0	7
154800.0	11
158400.0	2
162000.0	10
165600.0	36
169200.0	28
172800.0	93
176400.0	107
180000.0	50
183600.0	82
187200.0	41
190800.0	34
194400.0	21
198000.0	12
201600.0	17
205200.0	2
208800.0	1
212400.0	8
216000.0	7
219600.0	1
223200.0	7
226800.0	6
230400.0	5
234000.0	5
237600.0	2
241200.0	2
244800.0	2
248400.0	13
252000.0	183
255600.0	76
259200.0	70
266400.0	83
273600.0	0
3600.0	0
7200.0	0
10800.0	0
14400.0	0
262800.0	42
270000.0	15
18000.0	0
21600.0	0
25200.0	256
28800.0	10
32400.0	3
36000.0	12
39600.0	4
43200.0	4
46800.0	2
50400.0	3
54000.0	11
57600.0	0
61200.0	2
64800.0	6
68400.0	5
72000.0	1
75600.0	52
79200.0	103
82800.0	84
86400.0	53
90000.0	114
93600.0	117
97200.0	15
100800.0	9
104400.0	17
108000.0	30
111600.0	106
115200.0	103
118800.0	9
122400.0	5
126000.0	6
129600.0	5

