TIME	DELETED
133200.0	5
136800.0	11
140400.0	6
144000.0	9
147600.0	2
151200.0	10
154800.0	2
158400.0	0
162000.0	39
165600.0	37
169200.0	67
172800.0	82
176400.0	86
180000.0	52
183600.0	51
187200.0	67
190800.0	29
194400.0	13
198000.0	4
201600.0	4
205200.0	1
208800.0	4
212400.0	6
216000.0	1
219600.0	11
223200.0	5
226800.0	13
230400.0	2
234000.0	2
237600.0	9
241200.0	0
244800.0	2
248400.0	47
252000.0	195
255600.0	52
259200.0	64
266400.0	38
273600.0	0
3600.0	0
7200.0	0
10800.0	0
14400.0	0
262800.0	32
270000.0	16
18000.0	0
21600.0	0
25200.0	308
28800.0	8
32400.0	0
36000.0	8
39600.0	2
43200.0	3
46800.0	14
50400.0	2
54000.0	2
57600.0	0
61200.0	2
64800.0	8
68400.0	6
72000.0	4
75600.0	81
79200.0	125
82800.0	50
86400.0	45
90000.0	114
93600.0	103
97200.0	21
100800.0	22
104400.0	21
108000.0	29
111600.0	111
115200.0	86
118800.0	10
122400.0	4
126000.0	2
129600.0	2

